site,scale,mean_aPIE,mean_gPIE,mean_betaPIE,mean_biomass,mean_env
6,400,3.337846585,5.09484645,0.28822831,8423.641295,-0.166134389
6,900,3.300055913,5.78955682,0.378189058,18625.21227,-0.313888852
6,1600,3.274718583,6.339123202,0.436793003,32277.02814,-0.42865872
6,2500,3.278590595,7.042910973,0.49485094,49641.1753,-0.557924214
6,3600,3.283090163,7.860107322,0.554606886,70465.31023,-0.634251554
6,4900,3.283090163,8.762846147,0.609302626,95911.11671,-0.666245916
6,6400,3.278590595,9.276985863,0.63760238,127081.4088,-0.619029594
6,8100,3.274718583,9.591149132,0.655035074,163402.4549,-0.468770878
6,10000,3.300055913,10.01901483,0.669605285,206946.803,-0.341133768
6,12100,3.341231384,10.46568983,0.680437487,254815.1492,-0.195462553
6,14400,3.36032806,10.93181665,0.69261028,291400.9083,-0.05498005
7,400,2.828520659,4.492045186,0.350042219,7863.981521,1.213346457
7,900,2.827072597,5.61189792,0.470908158,16992.14551,1.16844633
7,1600,2.832273377,6.481473809,0.537670406,29472.77017,1.103729792
7,2500,2.833379762,7.238148883,0.590621872,45024.9824,1.022615595
7,3600,2.827155805,7.780338832,0.626028215,64518.64763,0.99345806
7,4900,2.827766797,8.067271079,0.644654764,87817.04816,1.011138101
7,6400,2.834692779,8.167453998,0.650485904,115263.9549,1.09655595
7,8100,2.834581902,8.040458892,0.646525864,149205.899,1.257343818
7,10000,2.830341234,7.831144666,0.637889368,188801.6168,1.388260019
7,12100,2.834318805,7.733183403,0.633182054,237885.441,1.472199749
7,14400,2.900235623,7.634665545,0.620122767,300513.6459,1.512200212
8,400,2.775875293,3.898307217,0.229721846,8630.236555,0.963926921
8,900,2.811759808,4.428044633,0.289875187,19478.3052,0.789823034
8,1600,2.833713393,4.82744629,0.333670495,34587.67415,0.660952954
8,2500,2.8705109,5.219991921,0.381254237,54801.57569,0.535184851
8,3600,2.915872383,5.566746483,0.425981918,79431.25282,0.486477371
8,4900,2.915711596,5.842286336,0.46762984,108114.7608,0.494424924
8,6400,2.870364473,5.962868778,0.498598436,140292.0338,0.540071443
8,8100,2.833406617,5.918140727,0.512415021,175100.1004,0.62710736
8,10000,2.811180887,5.91021488,0.522752767,216425.6133,0.729908807
8,12100,2.778580044,6.098754046,0.544126751,261064.6558,0.870374245
8,14400,2.761776275,6.433842147,0.570742301,306842.9721,1.020636154
9,400,3.517312205,5.019303849,0.248526003,8190.163643,0.611270703
9,900,3.416986546,5.573851778,0.331283415,18066.49161,0.484314655
9,1600,3.3247939,5.849576488,0.376700493,32137.79633,0.384970265
9,2500,3.237796455,5.999468527,0.406865761,49648.48554,0.267667746
9,3600,3.201216992,6.067096024,0.427169189,70609.91578,0.234520087
9,4900,3.203197805,6.133201044,0.443390058,96107.94093,0.23841171
9,6400,3.243643916,6.284602344,0.464144097,127100.123,0.280706811
9,8100,3.333135798,6.639272738,0.487689409,162697.5939,0.407216775
9,10000,3.425533101,7.073614705,0.511325307,200738.7956,0.508922195
9,12100,3.526732028,7.536633278,0.530762682,247752.4502,0.603053085
9,14400,3.590133795,8.123574625,0.558059849,302668.4524,0.664682101
10,400,3.085983078,4.534375579,0.237524924,8130.185439,-1.696308654
